product_name,rating,title,body,date
"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",5.0,The iHealth Neo Wireless Blood Pressure Monitor,"The iHealth Neo Wireless Blood Pressure Monitor is a standout in the crowded market of home health devices, offering an impressive blend of ease of use, affordability, and accuracy. As health-conscious consumers increasingly seek reliable and user-friendly gadgets to monitor their health at home, the this model emerges as a highly recommended option. This review dives into the features that make it an attractive choice for anyone looking to keep tabs on their blood pressure without breaking the bank or wrestling with complex setups.

Design and Build Quality
The Hemowise monitor sports a sleek, minimalist design that is both modern and practical. It consists of a lightweight, compact cuff that fits comfortably around the arm and a wireless module that displays readings. The build quality is solid, ensuring durability for daily use. Its portability means you can easily take it on the go, making it ideal for travelers or those who frequently need to monitor their blood pressure throughout the day.

Ease of Use
One of the most significant advantages is its user-friendliness. It simplifies the process of taking your blood pressure to just a couple of steps: wrapping the cuff around your arm and pressing a single button to start the measurement. The device connects seamlessly via Bluetooth to a free companion app , allowing users to track their readings, monitor trends over time, and even share results with their healthcare provider. The app's interface is intuitive, catering to users of all tech-savviness levels.

Accuracy and Reliability
Despite its affordability, the Hemowise monitor does not compromise on accuracy. It utilizes advanced oscillometric measurement techniques, comparable to those used in clinical settings, ensuring that readings are both reliable and consistent. This precision is crucial for those managing conditions such as hypertension, where accurate monitoring can significantly impact health outcomes.

Affordability
Priced competitively, the iHealth Neo Wireless Blood Pressure Monitor offers excellent value for its features and reliability. It strikes a perfect balance between affordability and quality, making it accessible to a wide range of users, from the elderly looking for an easy-to-use device to tech-savvy individuals seeking a smart health gadget.","Reviewed in the United States on March 11, 2024"
"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",5.0,I Love This Thing,"Apparently, I'm at the age where I'm excited about a blood pressure monitor; sigh. But seriously, this thing is great. I've had high blood pressure at doctor visits for the last year or two. Not enough for them to give me medication, but enough to bring it to my attention. I bought this to be proactive and to try to identify patterns about when it's high and why, and also so I can monitor it as I make lifestyle changes to try to lower it.

I almost bought the other iHealth model that has the separate base because I liked the screen, but I ultimately decided on this one, primarily because I loathe disposable batteries and I liked that this model is rechargeable. I'm really glad I chose this one, it's so convenient and portable! I didn't think I'd care about that since I use it mostly at home, but it's super compact and easy to keep anywhere without having some bulky contraption hanging around to look obnoxious.

I chose the iHealth brand because I liked the idea of the app. You can use the app on your phone but it also automatically uploads to their cloud interface so you can sign on from a PC to view charts, etc. I will say the charts are less than ideal and could be better, but they're okay. You can email them to yourself or others (like a doctor) via PDF and other formats, which is nice.

The thing I like most about the app is having the start button on the phone. I like that I can start it that way instead of using the button on the unit so that I can sit quietly for a moment before I begin without reaching over to press the button. It's a minor detail, but handy. You can also skip the app entirely if you prefer and the unit works without it.

Setup was extremely easy. I find it to be accurate, at least as far as I can tell. My very first reading was almost identical to the reading my doctor got only 4 days earlier.

It connects to Bluetooth automatically as soon as I open the app, and it also automatically uploads each reading to the cloud interface. It even shuts itself off and disconnects when I'm done so I do nothing except hit the start button, it couldn't be easier.

I like this so much that I came back to Amazon and ordered an iHealth scale as well, so I can monitor my weight loss, which is one of the lifestyle changes I'm making to lower my blood pressure. That will upload to the same interface so I can see everything in one place. I feel more in charge of my health with these units and I really like the ability to track my progress in the app.","Reviewed in the United States on February 17, 2024"
"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",5.0,So happy to finally go cordless!,"I have high BP and have been advised to monitor regularly by my providers. I love the ihealth platform because I links directly to my Google fit as well as my EMR app, so they have direct access to my readings. I bought an older unit from ihealth several years ago and didn't care for it, then I lost it and didn't bother to search for it. I'm super happy with this unit because it completely eliminated the long air hose, as well as the separate inflator pump. No more fighting to line it up properly with that out of the way! Everything is right there on the cuff and it's very easy to put on. It also fits easily into my purse when zipped into it's pouch (included!) Connection to my phone and the app were seamless and readings are just like before. The only thing I would change would be the outdated micro USB charge port. Please make it universal with a USB-C, or wireless charging capability! Overall I am very happy with this upgrade.

And for those wondering, it will work without your phone when you don't have it available. There's a start button and a display on the cuff that will give your reading, which is another improvement over my old unit that only worked with my phone.","Reviewed in the United States on August 23, 2024"
"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",5.0,très pratique,"Reçu et Ne chargeait pas, il m’a été remplacé dès le lendemain : très pratique et qualitatif","Reviewed in France on May 5, 2024"
"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",1.0,Nada satisfechos,"Fue un regalo y ahora que se necesita, no hay manera de sincronizar con la aplicacion del movil. Sin eso, no se puede utilizar, muy decepcionados.","Reviewed in Spain on February 26, 2023"
"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",5.0,migliore del precedente modello,"migliorato molto dal precedente, connessione alla App veloce, comodo il display incorporato","Reviewed in Italy on December 22, 2022"
"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",5.0,Excellent product,It’s a very easy to use and great product,"Reviewed in the United Kingdom on November 4, 2022"
"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",5.0,Gutes Blutdruck-Messgerät,"Das ist jetzt das zweite Neo, das ich gekauft habe: das erste nutzt jetzt mein Vater…

Warum ich zufrieden bin:
- es misst genau. Man muss nur beachten, wie man Blutdruck misst: man muss in Ruhe sein (weshalb man beim Arzt auch etwas warten muss, nur nimmt man es dort nicht als Teil der Untersuchung wahr). Man muss entspannt sitzen (und möglichst immer in der selben Position)
- die Messung geht schnell und einfach
- die Auswertung ist übersichtlich
- die App ist einfach einzurichten und zu bedienen
- ich kann auch aus der Entfernung sehen, wie es meinem Vater geht","Reviewed in Germany on April 28, 2021"
"Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital BP Machine with LED Backlit Display, Voice Broadcast, 240 Memory Storage for 2 Users with Carrying Case",5.0,Easy setup,Good value. Basic functionality w/o date/time entry hassle. Memory accommodates 2 people. Lithium rechargeable battery w usb cable so no fumbling w replacement batteries. Measurements seem accurate based on my history.,"Reviewed in the United States on September 12, 2024"
"Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital BP Machine with LED Backlit Display, Voice Broadcast, 240 Memory Storage for 2 Users with Carrying Case",5.0,Reliable,"I love this device. The accuracy, design and ease of use all get 5 stars from me.
I travel with it and I feel more secure because I can check my pressure whenever I need to. The battery life has not been a problem so far.","Reviewed in the United States on September 17, 2024"
"Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital BP Machine with LED Backlit Display, Voice Broadcast, 240 Memory Storage for 2 Users with Carrying Case",4.0,Accurate and easy to read,I use it daily and its easy to read plus it tells you the readings on the speaker after the blood pressure is taken. No issues so far. You have to plug it in to recharge it but going on 2 weeks so far and haven't had to charge it yet,"Reviewed in the United States on September 12, 2024"
"Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital BP Machine with LED Backlit Display, Voice Broadcast, 240 Memory Storage for 2 Users with Carrying Case",5.0,Excellent for everyday use,"I have used this for a few days now and it has performed great. The readings are accurate with a clear display, and a comfortable cuff. The device has a dual memory function so you can keep track of you blood pressure over time, and keep your readings separate from your partner’s. My only complaint is that it has an annoying voice that give you instructions and reads out your blood pressure readings, this can be turned off in the settings.","Reviewed in the United States on September 17, 2024"
"Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital BP Machine with LED Backlit Display, Voice Broadcast, 240 Memory Storage for 2 Users with Carrying Case",5.0,"Durable, easy to use and accurate","After a week of use this device appears to be a good buy. It is accurate as measured against a high-end shoulder blood pressure cuff. The battery is long-lasting and fast-charging. The large, bright, multicolored numbers are easy to read in the dark and you will get a reading pretty fast. And the memory even gives you and average over time. It's well made and easy to take on and off. Overall, I'm totally satisfied and for the price I don't think you'll find a better one.","Reviewed in the United States on September 14, 2024"
"Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital BP Machine with LED Backlit Display, Voice Broadcast, 240 Memory Storage for 2 Users with Carrying Case",5.0,Works great,"I've only had it for a few days, but so far it's great. Easy to use by yourself and it's accurate. I've compared it to an arm style blood pressure machine and the numbers are the same. It's easy to read,easy to use and it's rechargeable.","Reviewed in the United States on September 14, 2024"
"Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital BP Machine with LED Backlit Display, Voice Broadcast, 240 Memory Storage for 2 Users with Carrying Case",5.0,Easy to use and read,"This is exactly what I was looking for. It's easy to put on and adjust, and has a nice display. The battery life seems very good. The included manual is also very helpful explaining about blood pressure and what is a good reading.

Great value for your money. Comes with a nice plastic storage case.","Reviewed in the United States on September 1, 2024"
"Oklar Blood Pressure Monitors for Home Use Rechargeable Blood Pressure Cuff Wrist Digital BP Machine with LED Backlit Display, Voice Broadcast, 240 Memory Storage for 2 Users with Carrying Case",4.0,Very nice but not very accurate,This is very nice and convenient. I am training to be an EMT so that fact that it isn’t accurate enough as compared to a traditional blood pressure cuff isn’t a good thing. The difference between the two is just too big. Good for home use for sure though.,"Reviewed in the United States on August 6, 2024"
